CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0506	5.0000	-0.0001	0.0000	0.0030	17.9991
0.0000	0.0510	5.0000	0.0004	0.0000	0.0043	17.9991
0.0000	0.0513	5.0000	0.0028	0.0000	0.0044	17.9993
0.0000	0.0505	5.0000	-0.0032	0.0000	0.0035	17.9993
0.0000	0.0522	5.0000	0.0079	0.0000	0.0037	17.9995
0.0000	0.0500	5.0000	-0.0001	0.0000	0.0015	17.9997
0.0000	0.0505	5.0000	-0.0020	0.0000	0.0030	17.9992
0.0000	0.0516	5.0000	0.0065	0.0000	0.0039	17.9994
0.0000	0.0500	5.0000	-0.0065	0.0000	0.0028	17.9993
0.0000	0.0530	5.0000	0.0089	0.0000	0.0032	17.9996
0.0000	0.0500	5.0000	0.0018	0.0000	0.0016	18.0000
0.0000	0.0500	5.0000	-0.0042	0.0000	-0.0005	17.9997
0.0000	0.0412	5.0000	-0.0676	0.0000	0.0014	17.9963
0.0000	0.0700	5.0000	0.1646	0.0000	0.0200	18.0003
0.0000	0.0500	5.0000	0.0041	-0.0000	-0.0022	18.0043
0.0000	0.0400	5.0000	-0.0430	-0.0000	-0.0094	18.0017
0.0000	0.0507	5.0000	-0.0023	0.0000	0.0067	17.9985
0.0000	0.0529	5.0000	0.0162	0.0000	0.0079	17.9991
0.0000	0.0500	5.0000	-0.0072	0.0000	0.0044	17.9993
0.0000	0.0537	5.0000	0.0126	0.0000	0.0033	17.9998
0.0000	0.0500	5.0000	0.0037	0.0000	0.0008	18.0004
0.0000	0.0500	5.0000	-0.0038	0.0000	-0.0024	18.0001
0.0000	0.0404	5.0000	-0.0728	0.0000	-0.0007	17.9964
0.0000	0.0600	5.0000	0.0876	0.0000	0.0193	17.9975
0.0000	0.0500	5.0000	0.0014	0.0000	0.0135	17.9993
0.0000	0.0539	5.0000	0.0107	0.0000	0.0009	17.9998
0.0000	0.0500	5.0000	-0.0046	0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0776	0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0001	0.0000	0.0030	17.9991
0.0000	0.0510	5.0000	0.0004	0.0000	0.0043	17.9991
0.0000	0.0512	5.0000	0.0027	0.0000	0.0044	17.9993
0.0000	0.0505	5.0000	-0.0029	0.0000	0.0035	17.9993
0.0000	0.0521	5.0000	0.0073	0.0000	0.0036	17.9995
0.0000	0.0500	5.0000	-0.0004	0.0000	0.0017	17.9996
0.0000	0.0506	5.0000	-0.0012	0.0000	0.0031	17.9993
0.0000	0.0514	5.0000	0.0045	0.0000	0.0036	17.9994
0.0000	0.0500	5.0000	-0.0064	0.0000	0.0028	17.9993
0.0000	0.0529	5.0000	0.0088	0.0000	0.0034	17.9996
0.0000	0.0500	5.0000	0.0017	0.0000	0.0019	18.0000
0.0000	0.0501	5.0000	-0.0037	0.0000	-0.0001	17.9996
0.0000	0.0411	5.0000	-0.0680	0.0000	0.0016	17.9962
0.0000	0.0700	5.0000	0.1646	0.0000	0.0203	18.0003
0.0000	0.0500	5.0000	0.0041	-0.0000	-0.0019	18.0043
0.0000	0.0400	5.0000	-0.0430	-0.0000	-0.0091	18.0016
0.0000	0.0508	5.0000	-0.0017	0.0000	0.0070	17.9985
0.0000	0.0528	5.0000	0.0151	0.0000	0.0079	17.9991
0.0000	0.0500	5.0000	-0.0072	0.0000	0.0045	17.9993
0.0000	0.0537	5.0000	0.0127	0.0000	0.0036	17.9997
0.0000	0.0500	5.0000	0.0038	0.0000	0.0010	18.0003
0.0000	0.0500	5.0000	-0.0038	0.0000	-0.0022	18.0000
0.0000	0.0405	5.0000	-0.0724	0.0000	-0.0005	17.9964
0.0000	0.0600	5.0000	0.0875	0.0000	0.0194	17.9975
0.0000	0.0500	5.0000	0.0014	0.0000	0.0135	17.9993
0.0000	0.0539	5.0000	0.0107	0.0000	0.0032	17.9998
0.0000	0.0500	5.0000	0.0001	0.0000	0.0009	18.0004
0.0000	0.0503	5.0000	-0.0029	0.0000	-0.0026	18.0002
0.0000	0.0401	5.0000	-0.0821	0.0000	-0.0014	17.9967
0.0000	0.0600	5.0000	0.0754	0.0000	0.0176	17.9971
0.0000	0.0500	5.0000	0.0126	0.0000	0.0152	17.9992
0.0000	0.0509	5.0000	0.0007	0.0000	0.0038	17.9990
0.0000	0.0510	5.0000	0.0011	0.0000	0.0048	17.9991
