CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.5000	21.9572	2.5514	0.0000	2.4473	52.9319
0.0000	0.5000	21.9862	2.5514	0.0000	2.4486	52.9319
0.0000	0.4900	22.0152	2.4893	0.0000	2.5000	53.2926
0.0000	0.5034	22.0442	2.5687	0.0000	2.5000	53.4767
0.0000	0.5000	22.0732	2.5533	0.0000	2.4313	53.6608
0.0000	0.4900	22.1022	2.4954	0.0000	2.4467	53.8415
0.0000	0.4900	22.1313	2.4873	0.0000	2.5000	54.0207
0.0000	0.4941	22.1603	2.5166	0.0000	2.5000	54.2006
0.0000	0.4900	22.1892	2.4877	0.0000	2.4834	54.3799
0.0000	0.4900	22.2184	2.4883	0.0000	2.5000	54.5591
0.0000	0.4937	22.2473	2.5091	0.0000	2.5000	54.7394
0.0000	0.4900	22.2763	2.4912	0.0000	2.4909	54.9193
0.0000	0.4900	22.3053	2.4912	0.0000	2.5000	54.9193
0.0000	0.4928	22.3343	2.5067	0.0000	2.5000	55.2789
0.0000	0.4900	22.3632	2.4894	0.0000	2.4933	55.4583
0.0000	0.4912	22.3923	2.4953	0.0000	2.5000	55.6379
0.0000	0.4915	22.4214	2.4976	0.0000	2.5000	55.8177
0.0000	0.4908	22.4504	2.4931	0.0000	2.5000	55.9974
0.0000	0.4922	22.4793	2.5029	0.0000	2.5000	56.1771
0.0000	0.4900	22.5083	2.4874	0.0000	2.4971	56.3564
0.0000	0.4931	22.5374	2.5051	0.0000	2.5000	56.5365
0.0000	0.4900	22.5664	2.4891	0.0000	2.4949	56.7160
0.0000	0.4919	22.5955	2.4968	0.0000	2.5000	56.8956
0.0000	0.4919	22.6244	2.4968	0.0000	2.5000	56.8956
0.0000	0.4910	22.6534	2.4918	0.0000	2.5000	57.2546
0.0000	0.4926	22.6824	2.5009	0.0000	2.5000	57.4346
0.0000	0.4900	22.7114	2.4861	0.0000	2.4991	57.6138
0.0000	0.4942	22.7402	2.5070	0.0000	2.5000	57.7939
0.0000	0.4900	22.7694	2.4843	0.0000	2.4930	57.9735
0.0000	0.4928	22.7984	2.5030	0.0000	2.5000	58.1529
0.0000	0.4900	22.8274	2.4827	0.0000	2.4970	58.3318
